Age, Taux hommes, Taux femmes
0	0.000705	0.000661
1	0.000249	0.000228
2	0.000107	0.000190
3	0.000090	0.000063
4	0.000103	0.000108
5	0.000222	0.000031
6	0.000118	0.000093
7	0.000015	0.000032
8	0.000046	0.000142
9	0.000046	0.000098
10	0.000094	0.000049
11	0.000097	0.000084
12	0.000097	0.000085
13	0.000080	0.000166
14	0.000078	0.000115
15	0.000271	0.000182
16	0.000237	0.000149
17	0.000326	0.000113
18	0.000402	0.000241
19	0.000510	0.000113
20	0.000530	0.000206
21	0.000499	0.000270
22	0.000748	0.000201
23	0.000719	0.000195
24	0.000691	0.000291
25	0.000490	0.000237
26	0.000573	0.000263
27	0.000637	0.000280
28	0.000801	0.000294
29	0.000717	0.000369
30	0.000664	0.000392
31	0.000882	0.000350
32	0.000999	0.000342
33	0.000659	0.000528
34	0.000841	0.000438
35	0.001082	0.000463
36	0.001048	0.000671
37	0.000989	0.000472
38	0.001370	0.000591
39	0.001052	0.000787
40	0.001198	0.000864
41	0.001299	0.000927
42	0.001804	0.000946
43	0.001769	0.001158
44	0.002416	0.001140
45	0.002065	0.001473
46	0.002328	0.001371
47	0.002666	0.001738
48	0.002547	0.002042
49	0.003228	0.002026
50	0.003287	0.002343
51	0.003800	0.002513
52	0.004477	0.002561
53	0.004742	0.002862
54	0.004880	0.003191
55	0.006113	0.003453
56	0.007245	0.004107
57	0.007151	0.004687
58	0.008283	0.004860
59	0.009411	0.005366
60	0.009384	0.005897
61	0.011640	0.006084
62	0.011513	0.007303
63	0.012307	0.007601
64	0.013893	0.008192
65	0.014680	0.007968
66	0.015447	0.008434
67	0.017988	0.009702
68	0.018737	0.010294
69	0.020738	0.010852
70	0.022342	0.012131
71	0.023589	0.013472
72	0.026947	0.014542
73	0.029133	0.017564
74	0.031995	0.018824
75	0.035095	0.020540
76	0.040932	0.022238
77	0.042632	0.026099
78	0.048074	0.029801
79	0.056826	0.034458
80	0.060658	0.038259
81	0.066620	0.045448
82	0.077425	0.051659
83	0.085510	0.058454
84	0.093228	0.068233
85	0.106750	0.076228
86	0.124065	0.089192
87	0.137398	0.105182
88	0.152632	0.120353
89	0.170591	0.137997
90	0.182321	0.150524
91	0.213661	0.171356
92	0.225054	0.191666
93	0.266667	0.216243
94	0.277355	0.236374
95	0.277385	0.246269
96	0.292948	0.288270
97	0.352761	0.305574
98	0.388664	0.350130
99	0.391089	0.366556
100	0.412281	0.382682
101	0.407407	0.394737
102	0.485714	0.436364
103	0.400000	0.491329
104 1.000000	1.000000
